from,to,weight
Nail Quarry,class 15non-selective browsergraviportal,1
Nail Quarry,class 8carnivoresub-cursorial,1
Nail Quarry,class 8hypercarnivoreSub-Cursorial,1
Poison Creek Quarry,class 10non-selective grazergraviportal,1
Poison Creek Quarry,class 11grazergraviportal,1
Poison Creek Quarry,class 11non-selective browserGraviportal,1
Poison Creek Quarry,class 11non-selective mixed feedergraviportal,1
Poison Creek Quarry,class 13non-selective grazerGraviportal,1
Poison Creek Quarry,class 7non-selective mixed feedersub-cursorial,1
Poison Creek Quarry,class 8hypercarnivoreSub-Cursorial,1
Rainbow Park Locality 94,class 10non-selective grazergraviportal,1
Rainbow Park Locality 94,class 11non-selective browserGraviportal,1
Rainbow Park Locality 94,class 11non-selective mixed feedergraviportal,1
Rainbow Park Locality 94,class 1omnivorecursorial,1
Rainbow Park Locality 94,class 4non-selective grazercursorial,1
Rainbow Park Locality 94,class 7non-selective mixed feedersub-cursorial,1
Rainbow Park Locality 94,class 8hypercarnivoreSub-Cursorial,1
Reed's Quarry 12,class 10non-selective grazergraviportal,1
Reed's Quarry 12,class 11non-selective browserGraviportal,1
Reed's Quarry 12,class 11non-selective mixed feedergraviportal,1
Reed's Quarry 12,class 2carnivorecursorial,1
Reed's Quarry 12,class 2carnivoresub-cursorial,1
Reed's Quarry 12,class 8hypercarnivoreSub-Cursorial,1
Reed's Quarry 13,class 10non-selective grazergraviportal,1
Reed's Quarry 13,class 11non-selective browserGraviportal,1
Reed's Quarry 13,class 11non-selective mixed feedergraviportal,1
Reed's Quarry 13,class 15non-selective browsergraviportal,1
Reed's Quarry 13,class 2carnivorecursorial,1
Reed's Quarry 13,class 4non-selective grazercursorial,1
Reed's Quarry 13,class 7non-selective mixed feedersub-cursorial,1
Reed's Quarry 8,class 10non-selective grazergraviportal,1
Reed's Quarry 8,class 11non-selective browserGraviportal,1
Reed's Quarry 8,class 11non-selective mixed feedergraviportal,1
Reed's Quarry 8,class 2carnivorecursorial,1
Reed's Quarry 8,class 8hypercarnivoreSub-Cursorial,1
Reed's Quarry 9,class 10non-selective grazergraviportal,1
Reed's Quarry 9,class 11non-selective browserGraviportal,1
Reed's Quarry 9,class 1non-selective grazercursorial,1
Reed's Quarry 9,class 2carnivorecursorial,1
Reed's Quarry 9,class 4non-selective grazercursorial,1
Reed's Quarry 9,class 7non-selective mixed feedersub-cursorial,1
Reed's Quarry 9,class 8hypercarnivoreSub-Cursorial,1
Stovall Quarry 1,class 10non-selective grazergraviportal,1
Stovall Quarry 1,class 11non-selective browserGraviportal,1
Stovall Quarry 1,class 13non-selective grazerGraviportal,1
Stovall Quarry 1,class 15non-selective browsergraviportal,1
Stovall Quarry 1,class 7non-selective mixed feedersub-cursorial,1
Stovall Quarry 1,class 8hypercarnivoreSub-Cursorial,1
