node,module
Supersaurus,1
Cope's Nipple,1
Maraapunisaurus,1
Dinosaur National Monument Quarry,1
Dryosaurus,1
Haplocanthosaurus,1
Dry Mesa Quarry,1
Brachiosaurus,1
Coelurus,1
Gargoyleosaurus,1
Ornitholestes,1
FPA General,1
coelurosaur indeterminate,1
Marsh-Felch Quarry,1
"""Elaphrosaurus""",1
Nanosaurus,1
Mygatt-Moore Quarry,1
Mymoorapelta,1
Torvosaurus,1
Stokesosaurus,1
Stovall Quarry 1,1
Marshosaurus,1
Apatosaurus,1
Allosaurus,1
Cleveland-Lloyd Quarry,1
Barosaurus,1
Stegosaurus,1
Camptosaurus,1
Diplodocus,1
Ceratosaurus,1
Camarasaurus,1
Camarasaurus ,2
Reed's Quarry 12,2
Coelurus ,2
Fosterovenator ,2
Reed's Quarry 13,2
Reed's Quarry 8,2
Stegosaurus ,2
Reed's Quarry 9,2
Brontosaurus ,3
Nail Quarry,3
Brachiosaurus ,3
Nanosaurus ,3
Hesperosaurus ,3
Howe-Stephens Quarry,3
Diplodocus ,3
Dryosaurus ,4
Koparion ,4
Rainbow Park Locality 94,4
Howe Quarry,4
Mymoorapelta ,4
Allosaurus ,4
Hanksville-Burpee Quarry,4
Haplocanthosaurus ,5
Poison Creek Quarry,5
Apatosaurus ,5
Camptosaurus ,5
Diplodocinae indeterminate,5
Little Houston Quarry,5
Howe Quarry (Brown's Historic),5
Kaatedocus ,5
Barosaurus ,6
Galeamopus ,6
Gargoyleosaurus ,6
Ornitholestes ,6
Bone Cabin Quarry,6
