from,to,weight,time_foster,time_turner,time_maidment
Bone Cabin Quarry,Allosaurus,1,2,2,6
Bone Cabin Quarry,Apatosaurus,1,2,2,6
Bone Cabin Quarry,Barosaurus ,1,2,2,6
Bone Cabin Quarry,Camarasaurus ,1,2,2,6
Bone Cabin Quarry,Camptosaurus ,1,2,2,6
Bone Cabin Quarry,Coelurus ,1,2,2,6
Bone Cabin Quarry,Diplodocus ,1,2,2,6
Bone Cabin Quarry,Dryosaurus ,1,2,2,6
Bone Cabin Quarry,Galeamopus ,1,2,2,6
Bone Cabin Quarry,Gargoyleosaurus ,1,2,2,6
Bone Cabin Quarry,Ornitholestes ,1,2,2,6
Bone Cabin Quarry,Stegosaurus ,1,2,2,6
Cleveland-Lloyd Quarry,Allosaurus,1,5,3,4
Cleveland-Lloyd Quarry,Barosaurus,1,5,3,4
Cleveland-Lloyd Quarry,Camarasaurus,1,5,3,4
Cleveland-Lloyd Quarry,Camptosaurus,1,5,3,4
Cleveland-Lloyd Quarry,Ceratosaurus,1,5,3,4
Cleveland-Lloyd Quarry,Diplodocus,1,5,3,4
Cleveland-Lloyd Quarry,Marshosaurus,1,5,3,4
Cleveland-Lloyd Quarry,Stegosaurus,1,5,3,4
Cleveland-Lloyd Quarry,Stokesosaurus,1,5,3,4
Cleveland-Lloyd Quarry,Torvosaurus,1,5,3,4
Cope's Nipple,Allosaurus,1,6,4,5
Cope's Nipple,Apatosaurus,1,6,4,5
Cope's Nipple,Camarasaurus,1,6,4,5
Cope's Nipple,Maraapunisaurus,1,6,4,5
Cope's Nipple,Stegosaurus,1,6,4,5
Dinosaur National Monument Quarry,Allosaurus,1,5,3,4
Dinosaur National Monument Quarry,Apatosaurus,1,5,3,4
Dinosaur National Monument Quarry,Barosaurus,1,5,3,4
Dinosaur National Monument Quarry,Camarasaurus,1,5,3,4
Dinosaur National Monument Quarry,Camptosaurus,1,5,3,4
Dinosaur National Monument Quarry,Ceratosaurus,1,5,3,4
Dinosaur National Monument Quarry,Diplodocus,1,5,3,4
Dinosaur National Monument Quarry,Dryosaurus,1,5,3,4
Dinosaur National Monument Quarry,Haplocanthosaurus,1,5,3,4
Dinosaur National Monument Quarry,Stegosaurus,1,5,3,4
Dinosaur National Monument Quarry,Torvosaurus,1,5,3,4
Dry Mesa Quarry,Allosaurus,1,4,2,4
Dry Mesa Quarry,Apatosaurus,1,4,2,4
Dry Mesa Quarry,Brachiosaurus,1,4,2,4
Dry Mesa Quarry,Camarasaurus,1,4,2,4
Dry Mesa Quarry,Camptosaurus,1,4,2,4
Dry Mesa Quarry,Ceratosaurus,1,4,2,4
Dry Mesa Quarry,Coelurus,1,4,2,4
Dry Mesa Quarry,Diplodocus,1,4,2,4
Dry Mesa Quarry,Dryosaurus,1,4,2,4
Dry Mesa Quarry,Gargoyleosaurus,1,4,2,4
Dry Mesa Quarry,Marshosaurus,1,4,2,4
Dry Mesa Quarry,Stegosaurus,1,4,2,4
Dry Mesa Quarry,Supersaurus,1,4,2,4
Dry Mesa Quarry,Torvosaurus,1,4,2,4
Dry Mesa Quarry,Ornitholestes,1,4,2,4
FPA General,Apatosaurus,1,4,na,4
FPA General,Brachiosaurus,1,4,na,4
FPA General,Camarasaurus,1,4,na,4
FPA General,Diplodocus,1,4,na,4
FPA General,Stegosaurus,1,4,na,4
FPA General,coelurosaur indeterminate,1,4,na,4
Hanksville-Burpee Quarry,Allosaurus ,1,4,2,4
Hanksville-Burpee Quarry,Apatosaurus,1,4,2,4
Hanksville-Burpee Quarry,Camarasaurus ,1,4,2,4
Hanksville-Burpee Quarry,Diplodocus ,1,4,2,4
Hanksville-Burpee Quarry,Dryosaurus ,1,4,2,4
Hanksville-Burpee Quarry,Mymoorapelta ,1,4,2,4
Howe Quarry,Allosaurus ,1,2,2,5
Howe Quarry (Brown's Historic),Apatosaurus ,1,,,
Howe Quarry (Brown's Historic),Barosaurus ,1,,,
Howe Quarry (Brown's Historic),Camarasaurus ,1,,,
Howe Quarry (Brown's Historic),Camptosaurus ,1,,,
Howe Quarry (Brown's Historic),Diplodocus ,1,,,
Howe Quarry (Brown's Historic),Kaatedocus ,1,,,
Howe-Stephens Quarry,Allosaurus ,1,2,na,5
Howe-Stephens Quarry,Barosaurus ,1,2,na,5
Howe-Stephens Quarry,Camarasaurus ,1,2,na,5
Howe-Stephens Quarry,Diplodocus ,1,2,na,5
Howe-Stephens Quarry,Dryosaurus ,1,2,na,5
Howe-Stephens Quarry,Hesperosaurus ,1,2,na,5
Howe-Stephens Quarry,Nanosaurus ,1,2,na,5
Howe-Stephens Quarry,Stegosaurus ,1,2,na,5
Howe-Stephens Quarry,Brachiosaurus ,1,2,na,5
Little Houston Quarry,Allosaurus ,1,2,2,6
Little Houston Quarry,Apatosaurus ,1,2,2,6
Little Houston Quarry,Camarasaurus ,1,2,2,6
Little Houston Quarry,Camptosaurus ,1,2,2,6
Little Houston Quarry,Dryosaurus ,1,2,2,6
Little Houston Quarry,Nanosaurus ,1,2,2,6
Little Houston Quarry,Diplodocinae indeterminate,1,2,2,6
Marsh-Felch Quarry,"""Elaphrosaurus""",1,3,2,3
